text,category,sentiment,length_bucket
this is a cable it allows power to be transfered from and outside source to my nexus 7 it functions exactly as advertised,electronics,2,1
i needed a couple of beds to lay side by side in a 2 man tent and these worked perfectly measurements were spot on the texture of the bed does catch a little bit of fuzz but cleans easily,sports,2,1
the contruction is heavy enough to handle a 35 remington i wasn't sure what to expect when i tried it and it did put an indentation in the target but it remains quite usable probably couldn't withstand 100 rounds like that but 3 didn't really do much harm,sports,2,1
it's really hars to find good lash glue for some reason this is great for lighter strip lashes but if your lookinnfor dramtic lashes or long wear glue look elsewhere,beauty,1,1
recently i saw a tv presentation for wen cleansing conditioners i have been using a different flavor of the product for some while 16 ounces last a pretty long time and i have to admit that i have been happy with the feel and condition of my hair my original bottle is getting low and after seeing this presentation on tv i decided to come back and replenish my supply via amazon i have been using this strictly as an after-shampoo conditioner having overlooked the word cleansing in the title i was totally unaware that this is a one-step product to be used instead of shampoo because it cleans and conditions at the same time it was the tv presentation that convinced me i do not need to use anything else partly because it said that a shampoo that lathers will strip the hair of essential oils when i run out of the shampoo i have on hand i do not plan to use anything on my hair but wen cleansing conditioners and by saving money on shampoo i will be able to afford to sample the variety of other flavors wen makes am anxious to try the pomegranate for the time being i will continue to use the shampoo i have only in small amounts and possibly for every other hair wash maybe even only once a week -- i hate to throw away shampoo i have already paid money for but i want to maximize the benefits of the wen while i eventually use up the existing shampoo maybe i can find someone i can give it to meanwhile i will withhold the fifth star in my rating,beauty,2,2
this is a great little camera a real bargain at this price excellent color and quality pictures only drawback is slow serial interface to computer buy a flashpath floppy adapter or a memory card reader to transfer pictures faster a good card reader that won't crash your system is made by siig they call it their usb digifilm-combo reader about 79 street price also get the maha charger and nimh batteries reviewed elsewhere on this page,electronics,2,2
received as a gift 2 of these many years ago need 2 more so just bought 2 more they are excellent for many purposes and besides looking good are well built and perform well if you need a folding mat that is strong and well made i strongly recommend this product first product lasted over 10 years and the new product seems to be the same quality,sports,2,2
the offset for weight of a 40 xd sub compact with a high capacity mag on the other side works great after the initial adjustment to my frame it has worked great easily worn all day under a light jacket,sports,2,1
you have to be dilligent in putting it on like the instructions say i tried a number of different products but 7 years after i had my son i can finnaly see the difference in the texture of my skin where all my stretch marks are i'll keep going and see how much better it can get,beauty,2,1
i use this with my visor and it works great in keeping my visor safe from the hazards of everyday life but what works best for me is that i use it as a wallet i used to have a big fat trifold wallet but using this has forced me to dump all the extra stuff i was carrying around now i have my pda and my credit cards id's and cash all in one easy location sure it might be nice to have a thinner package but i would need a thinner pda first when you come across one that is a better deal than the current price on the visor let me know,electronics,2,2
i bought this for my girl and she seems to love it so i assume it is good sorry i can not be more helpful,beauty,2,1
at 1024 x 768 resolution this memory card holds 200-390 images on my polaroid pdc-700 camera that's like 8-16 rolls of film the price and capacity are just right for weekend trips or special events go crazy and take pictures of anything and everything that catches your eye i took 89 pictures in 5 hours at my company's quot relay for life quot event on friday and really enjoyed not having to quot budget quot my photos or worry about running out of film the image quality was excellent and downloading was quick amp easy with a digital film reader i'm planning a 2-week trip to spain this fall and am considering an additional 32mb sandisk memory card just in case i get too crazy does anyone know if they make a storage case for spare memory cards,electronics,2,2
